Dataset,Model,Tuner,Mean_F1,SD_F1,CI95_lo,CI95_hi
Lung Cancer,XGBoost,No-Tuning,0.9011,0.0283,0.8809,0.9213
Lung Cancer,XGBoost,Grid,0.8979,0.0286,0.8775,0.9184
Lung Cancer,XGBoost,Random,0.895,0.0272,0.8756,0.9144
Lung Cancer,XGBoost,Bayes,0.8923,0.0381,0.865,0.9196
Lung Cancer,RandomForest,No-Tuning,0.9259,0.032,0.903,0.9488
Lung Cancer,RandomForest,Grid,0.9242,0.0277,0.9043,0.944
Lung Cancer,RandomForest,Random,0.9221,0.0252,0.904,0.9401
Lung Cancer,RandomForest,Bayes,0.908,0.0391,0.88,0.9359
Lung Cancer,SVM,No-Tuning,0.9128,0.0311,0.8905,0.935
Lung Cancer,SVM,Grid,0.9111,0.0365,0.8851,0.9372
Lung Cancer,SVM,Random,0.905,0.0434,0.8739,0.9361
Lung Cancer,SVM,Bayes,0.9045,0.0435,0.8734,0.9356
Lung Cancer,LightGBM,No-Tuning,0.9002,0.0354,0.8749,0.9255
Lung Cancer,LightGBM,Grid,0.9006,0.0312,0.8783,0.9229
Lung Cancer,LightGBM,Random,0.8995,0.0302,0.8779,0.921
Lung Cancer,LightGBM,Bayes,0.8967,0.0272,0.8773,0.9162
BreastCancer,XGBoost,No-Tuning,0.9719,0.0115,0.9637,0.9802
BreastCancer,XGBoost,Grid,0.9701,0.0095,0.9634,0.9769
BreastCancer,XGBoost,Random,0.971,0.0101,0.9638,0.9783
BreastCancer,XGBoost,Bayes,0.972,0.008,0.9663,0.9777
BreastCancer,RandomForest,No-Tuning,0.9614,0.012,0.9529,0.97
BreastCancer,RandomForest,Grid,0.9631,0.0116,0.9548,0.9714
BreastCancer,RandomForest,Random,0.9623,0.0102,0.9549,0.9696
BreastCancer,RandomForest,Bayes,0.9614,0.0139,0.9515,0.9713
BreastCancer,SVM,No-Tuning,0.9763,0.0083,0.9703,0.9823
BreastCancer,SVM,Grid,0.9736,0.0102,0.9663,0.9809
BreastCancer,SVM,Random,0.9736,0.0102,0.9663,0.9809
BreastCancer,SVM,Bayes,0.9745,0.0114,0.9663,0.9826
BreastCancer,LightGBM,No-Tuning,0.9674,0.011,0.9596,0.9753
BreastCancer,LightGBM,Grid,0.9684,0.0084,0.9623,0.9744
BreastCancer,LightGBM,Random,0.9727,0.0087,0.9665,0.979
BreastCancer,LightGBM,Bayes,0.9718,0.0129,0.9626,0.9811
CervicalCancer,XGBoost,No-Tuning,0.9508,0.0136,0.941,0.9605
CervicalCancer,XGBoost,Grid,0.9572,0.0158,0.9458,0.9685
CervicalCancer,XGBoost,Random,0.9524,0.0142,0.9423,0.9626
CervicalCancer,XGBoost,Bayes,0.9553,0.016,0.9438,0.9667
CervicalCancer,RandomForest,No-Tuning,0.953,0.0135,0.9434,0.9627
CervicalCancer,RandomForest,Grid,0.9638,0.0139,0.9539,0.9737
CervicalCancer,RandomForest,Random,0.9591,0.017,0.9469,0.9712
CervicalCancer,RandomForest,Bayes,0.9609,0.015,0.9502,0.9716
CervicalCancer,SVM,No-Tuning,0.9392,0.0146,0.9287,0.9496
CervicalCancer,SVM,Grid,0.9497,0.0116,0.9414,0.958
CervicalCancer,SVM,Random,0.9547,0.0131,0.9453,0.964
CervicalCancer,SVM,Bayes,0.9534,0.0111,0.9454,0.9614
CervicalCancer,LightGBM,No-Tuning,0.9461,0.0104,0.9387,0.9536
CervicalCancer,LightGBM,Grid,0.9559,0.0157,0.9447,0.9671
CervicalCancer,LightGBM,Random,0.9558,0.0148,0.9453,0.9664
CervicalCancer,LightGBM,Bayes,0.9556,0.0131,0.9462,0.9649
