Dataset,Model,Tuner,AvgRank
Lung Cancer,XGBoost,No-Tuning,2.3
Lung Cancer,XGBoost,Grid,2.35
Lung Cancer,XGBoost,Random,2.45
Lung Cancer,XGBoost,Bayes,2.9
Lung Cancer,RandomForest,No-Tuning,2.4
Lung Cancer,RandomForest,Grid,2.25
Lung Cancer,RandomForest,Random,2.45
Lung Cancer,RandomForest,Bayes,2.9
Lung Cancer,SVM,No-Tuning,2.4
Lung Cancer,SVM,Grid,2.5
Lung Cancer,SVM,Random,2.65
Lung Cancer,SVM,Bayes,2.45
Lung Cancer,LightGBM,No-Tuning,2.6
Lung Cancer,LightGBM,Grid,2.35
Lung Cancer,LightGBM,Random,2.4
Lung Cancer,LightGBM,Bayes,2.65
BreastCancer,XGBoost,No-Tuning,2.7
BreastCancer,XGBoost,Grid,2.7
BreastCancer,XGBoost,Random,2.65
BreastCancer,XGBoost,Bayes,1.95
BreastCancer,RandomForest,No-Tuning,2.5
BreastCancer,RandomForest,Grid,2.45
BreastCancer,RandomForest,Random,2.45
BreastCancer,RandomForest,Bayes,2.6
BreastCancer,SVM,No-Tuning,1.9
BreastCancer,SVM,Grid,2.55
BreastCancer,SVM,Random,2.75
BreastCancer,SVM,Bayes,2.8
BreastCancer,LightGBM,No-Tuning,3.0
BreastCancer,LightGBM,Grid,2.5
BreastCancer,LightGBM,Random,2.25
BreastCancer,LightGBM,Bayes,2.25
CervicalCancer,XGBoost,No-Tuning,2.75
CervicalCancer,XGBoost,Grid,1.95
CervicalCancer,XGBoost,Random,2.75
CervicalCancer,XGBoost,Bayes,2.55
CervicalCancer,RandomForest,No-Tuning,3.6
CervicalCancer,RandomForest,Grid,1.6
CervicalCancer,RandomForest,Random,2.65
CervicalCancer,RandomForest,Bayes,2.15
CervicalCancer,SVM,No-Tuning,3.7
CervicalCancer,SVM,Grid,2.8
CervicalCancer,SVM,Random,1.65
CervicalCancer,SVM,Bayes,1.85
CervicalCancer,LightGBM,No-Tuning,3.2
CervicalCancer,LightGBM,Grid,2.2
CervicalCancer,LightGBM,Random,2.3
CervicalCancer,LightGBM,Bayes,2.3
