Dataset,Model,Tuner,Mean_F1,Std_F1,Mean_AUC,Mean_Prec,Mean_Rec,Mean_Acc,Mean_RT,F1_per_sec,F1_Gain_vs_NT
Lung Cancer,XGBoost,No-Tuning,0.9011,0.0268,0.9306,0.9093,0.9,0.9,0.14,6.271574,0.0
Lung Cancer,XGBoost,Grid,0.8979,0.0271,0.9233,0.9045,0.8964,0.8964,16.07,0.055873,-0.0032
Lung Cancer,XGBoost,Random,0.895,0.0258,0.9323,0.9028,0.8946,0.8946,8.23,0.108779,-0.0061
Lung Cancer,XGBoost,Bayes,0.8923,0.0362,0.9423,0.8977,0.8929,0.8929,29.49,0.030261,-0.0089
Lung Cancer,RandomForest,No-Tuning,0.9259,0.0304,0.9452,0.9306,0.925,0.925,0.27,3.456936,0.0
Lung Cancer,RandomForest,Grid,0.9242,0.0263,0.946,0.9278,0.925,0.925,42.45,0.021768,-0.0017
Lung Cancer,RandomForest,Random,0.9221,0.0239,0.9419,0.9262,0.9232,0.9232,37.89,0.024334,-0.0038
Lung Cancer,RandomForest,Bayes,0.908,0.0371,0.9311,0.9122,0.9071,0.9071,59.86,0.015168,-0.0179
Lung Cancer,SVM,No-Tuning,0.9127,0.0295,0.9483,0.9223,0.9089,0.9089,0.03,26.47917,0.0
Lung Cancer,SVM,Grid,0.9111,0.0346,0.9392,0.9231,0.9071,0.9071,2.45,0.371677,-0.0016
Lung Cancer,SVM,Random,0.905,0.0412,0.9315,0.9171,0.9,0.9,6.73,0.134484,-0.0078
Lung Cancer,SVM,Bayes,0.9045,0.0412,0.9337,0.918,0.8982,0.8982,22.18,0.040778,-0.0083
Lung Cancer,LightGBM,No-Tuning,0.9002,0.0336,0.9251,0.908,0.9,0.9,0.06,16.072271,0.0
Lung Cancer,LightGBM,Grid,0.9006,0.0296,0.9327,0.9062,0.9,0.9,11.43,0.078791,0.0004
Lung Cancer,LightGBM,Random,0.8994,0.0286,0.937,0.9053,0.8982,0.8982,6.28,0.143253,-0.0007
