Dataset,Model,Best Alt. Tuner,NT Runtime (s),Alt Runtime (s),Runtime x,F1 Gain,Verdict
Lung Cancer,XGBoost,Grid,0.14,16.07,114.8,-0.0032,Not worth it
Lung Cancer,RandomForest,Grid,0.27,42.45,157.2,-0.0017,Not worth it
Lung Cancer,SVM,Grid,0.03,2.45,81.7,-0.0016,Not worth it
Lung Cancer,LightGBM,Grid,0.06,11.43,190.5,0.0004,Marginal
BreastCancer,XGBoost,Bayes,0.25,37.52,150.1,0.0,Not worth it
BreastCancer,RandomForest,Grid,0.42,54.68,130.2,0.0017,Marginal
BreastCancer,SVM,Bayes,0.05,20.22,404.4,-0.0018,Not worth it
BreastCancer,LightGBM,Random,0.29,15.07,52.0,0.0053,Marginal
CervicalCancer,XGBoost,Grid,0.19,27.78,146.2,0.0064,Marginal
CervicalCancer,RandomForest,Grid,0.36,49.54,137.6,0.0108,Marginal
CervicalCancer,SVM,Random,0.12,72.77,606.4,0.0155,Marginal
CervicalCancer,LightGBM,Grid,0.17,19.48,114.6,0.0098,Marginal
